Date,Month,Day,Weekday,Heating perid or not,PM2.5 Grade
2018/1/1,1,1,1,1,3
2018/1/2,1,2,2,1,4
2018/1/3,1,3,3,1,4
2018/1/4,1,4,4,1,2
2018/1/5,1,5,5,1,3
2018/1/6,1,6,6,1,2
2018/1/7,1,7,7,1,2
2018/1/8,1,8,1,1,2
2018/1/9,1,9,2,1,2
2018/1/10,1,10,3,1,2
2018/1/11,1,11,4,1,2
2018/1/12,1,12,5,1,2
2018/1/13,1,13,6,1,4
2018/1/14,1,14,7,1,4
2018/1/15,1,15,1,1,4
2018/1/16,1,16,2,1,2
2018/1/17,1,17,3,1,3
2018/1/18,1,18,4,1,2
2018/1/19,1,19,5,1,2
2018/1/20,1,20,6,1,2
2018/1/21,1,21,7,1,2
2018/1/22,1,22,1,1,2
2018/1/23,1,23,2,1,2
2018/1/24,1,24,3,1,2
2018/1/25,1,25,4,1,3
2018/1/26,1,26,5,1,3
2018/1/27,1,27,6,1,4
2018/1/28,1,28,7,1,2
2018/1/29,1,29,1,1,1
2018/1/30,1,30,2,1,1
2018/1/31,1,31,3,1,1
2018/2/1,2,1,4,1,2
2018/2/2,2,2,5,1,1
2018/2/3,2,3,6,1,2
2018/2/4,2,4,7,1,2
2018/2/5,2,5,1,1,2
2018/2/6,2,6,2,1,2
2018/2/7,2,7,3,1,2
2018/2/8,2,8,4,1,2
2018/2/9,2,9,5,1,3
2018/2/10,2,10,6,1,1
2018/2/11,2,11,7,1,1
2018/2/12,2,12,1,1,2
2018/2/13,2,13,2,1,2
2018/2/14,2,14,3,1,3
2018/2/15,2,15,4,1,3
2018/2/16,2,16,5,1,3
2018/2/17,2,17,6,1,3
2018/2/18,2,18,7,1,1
2018/2/19,2,19,1,1,1
2018/2/20,2,20,2,1,1
2018/2/21,2,21,3,1,1
2018/2/22,2,22,4,1,1
2018/2/23,2,23,5,1,1
2018/2/24,2,24,6,1,1
2018/2/25,2,25,7,1,2
2018/2/26,2,26,1,1,2
2018/2/27,2,27,2,1,2
2018/2/28,2,28,3,1,2
2018/3/1,3,1,4,1,2
2018/3/2,3,2,5,1,3
2018/3/3,3,3,6,1,3
2018/3/4,3,4,7,1,1
2018/3/5,3,5,1,1,2
2018/3/6,3,6,2,1,1
2018/3/7,3,7,3,1,1
2018/3/8,3,8,4,1,2
2018/3/9,3,9,5,1,2
2018/3/10,3,10,6,1,3
2018/3/11,3,11,7,1,2
2018/3/12,3,12,1,1,3
2018/3/13,3,13,2,1,2
2018/3/14,3,14,3,1,1
2018/3/15,3,15,4,1,2
2018/3/16,3,16,5,0,1
2018/3/17,3,17,6,0,1
2018/3/18,3,18,7,0,2
2018/3/19,3,19,1,0,2
2018/3/20,3,20,2,0,2
2018/3/21,3,21,3,0,2
2018/3/22,3,22,4,0,1
2018/3/23,3,23,5,0,1
2018/3/24,3,24,6,0,2
2018/3/25,3,25,7,0,2
2018/3/26,3,26,1,0,2
2018/3/27,3,27,2,0,1
2018/3/28,3,28,3,0,1
2018/3/29,3,29,4,0,2
2018/3/30,3,30,5,0,2
2018/3/31,3,31,6,0,1
2018/4/1,4,1,7,0,2
2018/4/2,4,2,1,0,1
2018/4/3,4,3,2,0,2
2018/4/4,4,4,3,0,2
2018/4/5,4,5,4,0,1
2018/4/6,4,6,5,0,1
2018/4/7,4,7,6,0,1
2018/4/8,4,8,7,0,1
2018/4/9,4,9,1,0,1
2018/4/10,4,10,2,0,2
2018/4/11,4,11,3,0,2
2018/4/12,4,12,4,0,1
2018/4/13,4,13,5,0,1
2018/4/14,4,14,6,0,1
2018/4/15,4,15,7,0,1
2018/4/16,4,16,1,0,1
2018/4/17,4,17,2,0,1
2018/4/18,4,18,3,0,1
2018/4/19,4,19,4,0,1
2018/4/20,4,20,5,0,1
2018/4/21,4,21,6,0,1
2018/4/22,4,22,7,0,1
2018/4/23,4,23,1,0,1
2018/4/24,4,24,2,0,1
2018/4/25,4,25,3,0,1
2018/4/26,4,26,4,0,1
2018/4/27,4,27,5,0,1
2018/4/28,4,28,6,0,1
2018/4/29,4,29,7,0,1
2018/4/30,4,30,1,0,1
2018/5/1,5,1,2,0,1
2018/5/2,5,2,3,0,1
2018/5/3,5,3,4,0,1
2018/5/4,5,4,5,0,1
2018/5/5,5,5,6,0,1
2018/5/6,5,6,7,0,1
2018/5/7,5,7,1,0,1
2018/5/8,5,8,2,0,1
2018/5/9,5,9,3,0,1
2018/5/10,5,10,4,0,1
2018/5/11,5,11,5,0,1
2018/5/12,5,12,6,0,1
2018/5/13,5,13,7,0,1
2018/5/14,5,14,1,0,1
2018/5/15,5,15,2,0,1
2018/5/16,5,16,3,0,1
2018/5/17,5,17,4,0,1
2018/5/18,5,18,5,0,1
2018/5/19,5,19,6,0,1
2018/5/20,5,20,7,0,1
2018/5/21,5,21,1,0,1
2018/5/22,5,22,2,0,1
2018/5/23,5,23,3,0,1
2018/5/24,5,24,4,0,1
2018/5/25,5,25,5,0,1
2018/5/26,5,26,6,0,2
2018/5/27,5,27,7,0,1
2018/5/28,5,28,1,0,1
2018/5/29,5,29,2,0,1
2018/5/30,5,30,3,0,1
2018/5/31,5,31,4,0,1
2018/6/1,6,1,5,0,1
